year,month,municipality,deaths,DiaSemChuva,Precipitacao,RiscoFogo,FRP,area_desmatada_km2
2020,3,CAREIRO DA VARZEA,0.0,,,,,"6,512761006150412"
2020,3,COARI,2.0,2.0,0.6,0.0,5.5,"0,056543497772431006"
2020,3,COARI,2.0,2.0,14.6,0.0,14.5,"0,056543497772431006"
2020,3,COARI,2.0,2.0,14.1,0.0,7.4,"0,056543497772431006"
2020,3,CODAJAS,2.0,,,,,"0,4206079708460421"
2020,3,EIRUNEPE,1.0,,,,,"0,04247959641536796"
2020,3,ENVIRA,0.0,,,,,0
2020,3,FONTE BOA,0.0,,,,,0
2020,3,GUAJARA,0.0,,,,,"0,13028665579329168"
2020,3,HUMAITA,3.0,,,,,"15,96070149816329"
2020,3,IPIXUNA,0.0,,,,,"0,06685231238359571"
2020,3,IRANDUBA,0.0,,,,,"2,179980613047716"
2020,3,ITACOATIARA,2.0,1.0,0.0,0.0,37.7,"2,2086947352253348"
2020,3,ITACOATIARA,2.0,1.0,0.0,0.0,26.5,"2,2086947352253348"
2020,3,ITAMARATI,0.0,,,,,0
2020,3,ITAPIRANGA,0.0,,,,,"1,213748555463989"
2020,3,JURUA,1.0,,,,,0
2020,3,JUTAI,0.0,,,,,0
2020,3,LABREA,3.0,,,,,"0,36857392801492594"
2020,3,MANACAPURU,4.0,0.0,0.4,-999.0,9.6,"1,1128868616586303"
2020,3,MANACAPURU,4.0,3.0,0.0,0.0,17.9,"1,1128868616586303"
2020,3,MANAQUIRI,0.0,,,,,"1,1256339185531616"
2020,3,MANAUS,76.0,,,,,"0,050410258663199745"
2020,3,MANICORE,0.0,,,,,"0,5038019213676104"
2020,3,MARAA,1.0,,,,,0
2020,3,MAUES,1.0,,,,,"3,2169504512333185"
2020,3,NHAMUNDA,0.0,,,,,"2,2321232623669918"
2020,3,NOVA OLINDA DO NORTE,1.0,2.0,0.1,0.0,13.6,"0,6646369482127781"
2020,3,NOVO AIRAO,0.0,,,,,0
2020,3,NOVO ARIPUANA,1.0,,,,,"0,03282936335335154"
2020,3,PARINTINS,4.0,0.0,0.8,-999.0,28.0,"2,9784428355101946"
2020,3,PAUINI,0.0,,,,,0
